#
# Character table extracted from font
#
0x0c5	U+253c U+254b U+254a U+2549 U+2548 U+2547 U+2546 U+2545 U+2544 U+2543 U+2542 U+2541 U+2540 U+253f U+253e U+253d U+256a U+256b U+256c
0x0c6	U+0161
0x0c7	U+0162
0x0c8	U+0163
0x0c9	U+0164
0x0ca	U+0165
0x0cb	U+016e
0x0cc	U+016f
0x0cd	U+0170
0x0ce	U+0171
0x0cf	U+0179
0x0d0	U+017a
0x0d1	U+017b
0x0d2	U+017c
0x0d3	U+017d
0x0d4	U+017e
0x0d5	U+0218
0x0d6	U+0219
0x0d7	U+021a
0x0d8	U+021b
0x0d9	U+2518 U+251b U+251a U+2519 U+255b U+255c U+255d U+256f
0x0da	U+250c U+250f U+250e U+250d U+2552 U+2553 U+2554 U+256d
0x0db	U+2588
0x0dc	U+02c7
0x0dd	U+02d8
0x0de	U+02d9
0x0df	U+02db
0x0e0	U+02dd
0x0e1	U+00df
0x0e2	U+2014 U+2015
0x0e3	U+03c0
0x0e4	U+2018
0x0e5	U+2019
0x0e6	U+00b5 U+03bc
0x0e7	U+201a
0x0e8	U+201c
0x0e9	U+201d
0x0ea	U+201e
0x0eb	U+2020
0x0ec	U+2021
0x0ed	U+2026
0x0ee	U+2030
0x0ef	U+2039
0x0f0	U+203a
0x0f1	U+00b1
0x0f2	U+2265
0x0f3	U+2264
0x0f4	U+20ac
0x0f5	U+2122
0x0f6	U+00f7
0x0f7	U+2248
0x0f8	U+00b0
0x0f9	U+2260
0x0fa	U+00b7
0x0fb	U+2116
0x0fc	U+00c0
0x0fd	U+00c8
0x0fe	U+25a0 U+25ae
0x0ff	U+00ca
