#
# Character table extracted from font
#
0x158	U+257c
0x159	U+257d
0x15a	U+257e
0x15b	U+257f
0x15c	U+2581
0x15d	U+2582
0x15e	U+2583
0x15f	U+2585
0x160	U+2586
0x161	U+2587
0x162	U+2589
0x163	U+258a
0x164	U+258b
0x165	U+258d
0x166	U+258e
0x167	U+258f
0x168	U+2594
0x169	U+2595
0x16a	U+2596
0x16b	U+2597
0x16c	U+2598
0x16d	U+2599
0x16e	U+259a
0x16f	U+259b
0x170	U+259c
0x171	U+259d
0x172	U+259e
0x173	U+259f
0x174	U+03bb
0x175	U+03c7
0x176	U+03bc
0x177	U+0461
0x178	U+2070
0x179	U+2074
0x17a	U+2075
0x17b	U+2076
0x17c	U+2077
0x17d	U+2078
0x17e	U+2079
0x17f	U+2080
0x180	U+2081
0x181	U+2082
0x182	U+2083
0x183	U+2084
0x184	U+2085
0x185	U+2086
0x186	U+2087
0x187	U+2088
0x188	U+2089
0x189	U+21c4
0x18a	U+21e8
0x18b	U+2206
0x18c	U+2207
0x18d	U+2208 U+220a
0x18e	U+2218
0x18f	U+2223
0x190	U+2228
0x191	U+222a
0x192	U+2235
0x193	U+223c
0x194	U+2260
0x195	U+226c
0x196	U+2282
0x197	U+2283
0x198	U+2296
0x199	U+22a2
0x19a	U+22a3
0x19b	U+22a4
0x19c	U+22a5
0x19d	U+22c6
0x19e	U+2308
0x19f	U+230a
0x1a0	U+2336
0x1a1	U+2337
0x1a2	U+2338
0x1a3	U+2339
0x1a4	U+233a
0x1a5	U+233b
0x1a6	U+233c
0x1a7	U+233d
0x1a8	U+233e
0x1a9	U+233f
0x1aa	U+2340
0x1ab	U+2341
0x1ac	U+2342
0x1ad	U+2343
0x1ae	U+2344
0x1af	U+2345
0x1b0	U+2346
0x1b1	U+2347
0x1b2	U+2348
0x1b3	U+2349
0x1b4	U+234a
0x1b5	U+234b
0x1b6	U+234c
0x1b7	U+234d
0x1b8	U+234e
0x1b9	U+234f
0x1ba	U+2350
0x1bb	U+2351
0x1bc	U+2352
0x1bd	U+2353
0x1be	U+2354
0x1bf	U+2355
0x1c0	U+2356
0x1c1	U+2357
0x1c2	U+2358
0x1c3	U+2359
0x1c4	U+235a
0x1c5	U+235b
0x1c6	U+235c
0x1c7	U+235d
0x1c8	U+235e
0x1c9	U+235f
0x1ca	U+2360
0x1cb	U+2361
0x1cc	U+2362
0x1cd	U+2363
0x1ce	U+2364
0x1cf	U+2365
0x1d0	U+2366
0x1d1	U+2367
0x1d2	U+2368
0x1d3	U+2369
0x1d4	U+236a
0x1d5	U+236b
0x1d6	U+236c
0x1d7	U+236d
0x1d8	U+236e
0x1d9	U+236f
0x1da	U+2370
0x1db	U+2371
0x1dc	U+2372
0x1dd	U+2373 U+03b9
0x1de	U+2374 U+03c1
0x1df	U+03c9 U+2375 U+03c9
0x1e0	U+2376
0x1e1	U+2377 U+2377 U+22f8
0x1e2	U+2378
0x1e3	U+2379
0x1e4	U+2227
0x1e5	U+22bc
0x1e6	U+22bd
0x1e7	U+2b26 U+25ca U+22c4
0x1e8	U+2395 U+25af
0x1e9	U+25e6
0x1ea	U+0152
0x1eb	U+0153
0x1ec	U+0178
0x1ed	U+2200
0x1ee	U+2205
0x1ef	U+2262
0x1f0	U+2286
0x1f1	U+2287
0x1f2	U+2299
0x1f3	U+2018
0x1f4	U+2019
0x1f5	U+201a
0x1f6	U+201c
0x1f7	U+201d
0x1f8	U+201e
0x1f9	U+2020
0x1fa	U+2021
0x1fb	U+2026
0x1fc	U+20ac
0x1fd	U+25b6
0x1fe	U+25c0
0x1ff	U+fffd
